x,y
1930,+.113798124621E-0001
1940,+.113504527309E-0001
1950,+.113213190763E-0001
1960,+.112924086117E-0001
1970,+.112637185019E-0001
1980,+.112352459618E-0001
1990,+.112069882553E-0001
2000,+.111789426943E-0001
2010,+.111511066375E-0001
2020,+.111234774896E-0001
2030,+.110960526998E-0001
2040,+.110688297612E-0001
2050,+.110418062099E-0001
2060,+.110149796238E-0001
2070,+.109883476217E-0001
2080,+.109619078627E-0001
2090,+.109356580449E-0001
2100,+.109095959050E-0001
2110,+.108837192172E-0001
2120,+.108580257925E-0001
2130,+.108325134779E-0001
2140,+.108071801556E-0001
2150,+.107820237424E-0001
2160,+.107570421888E-0001
2170,+.107322334785E-0001
2180,+.107075956275E-0001
2190,+.106831266834E-0001
2200,+.106588247253E-0001
2210,+.106346878624E-0001
2220,+.106107142337E-0001
2230,+.105869020078E-0001
2240,+.105632493816E-0001
2250,+.105397545801E-0001
2260,+.105164158561E-0001
2270,+.104932314890E-0001
2280,+.104701997849E-0001
2290,+.104473190757E-0001
2300,+.104245877186E-0001
2310,+.104020040960E-0001
2320,+.103795666144E-0001
2330,+.103572737046E-0001
2340,+.103351238205E-0001
2350,+.103131154393E-0001
2360,+.102912470609E-0001
2370,+.102695172071E-0001
2380,+.102479244215E-0001
2390,+.102264672693E-0001
2400,+.102051443364E-0001
2410,+.101839542294E-0001
2420,+.101628955748E-0001
2430,+.101419670193E-0001
2440,+.101211672286E-0001
2450,+.101004948879E-0001
2460,+.100799487009E-0001
2470,+.100595273896E-0001
2480,+.100392296942E-0001
2490,+.100190543725E-0001
2500,+.999900019995E-0002
2510,+.997906596880E-0002
2520,+.995925048824E-0002
2530,+.993955258390E-0002
2540,+.991997109763E-0002
2550,+.990050488718E-0002
2560,+.988115282591E-0002
2570,+.986191380257E-0002
2580,+.984278672097E-0002
2590,+.982377049976E-0002
2600,+.980486407216E-0002
2610,+.978606638567E-0002
2620,+.976737640190E-0002
2630,+.974879309630E-0002
2640,+.973031545787E-0002
2650,+.971194248901E-0002
2660,+.969367320522E-0002
2670,+.967550663495E-0002
